/* DATA DESCRIPTION:
Citation:	Artés Vivancos, Tomàs; San-Miguel-Ayanz, Jesús (2018): Global Wildfire Database for GWIS - ESRI Shapefiles in monthly resolution. PANGAEA, https://doi.org/10.1594/PANGAEA.895898, 
	In supplement to: Artés Vivancos, Tomàs; Oom, Duarte; de Rigo, Daniele; Houston Durrant, Tracy; Maianti, Pieralberto; Libertá, Giorgio; San-Miguel-Ayanz, Jesús (2019): A global wildfire dataset for the analysis of fire regimes and fire behaviour. Scientific Data, 6(1), https://doi.org/10.1038/s41597-019-0312-2
Coverage:	DATE/TIME START: 2000-11-01T00:00:00 * DATE/TIME END: 2018-06-30T00:00:00
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Artés Vivancos, Tomàs (https://orcid.org/0000-0002-4105-5468, artes.tomas@gmail.com)
	File name (File name) * PI: Artés Vivancos, Tomàs (https://orcid.org/0000-0002-4105-5468, artes.tomas@gmail.com)
	File format (File format) * PI: Artés Vivancos, Tomàs (https://orcid.org/0000-0002-4105-5468, artes.tomas@gmail.com)
	File size [kByte] (File size) * PI: Artés Vivancos, Tomàs (https://orcid.org/0000-0002-4105-5468, artes.tomas@gmail.com)
	Uniform resource locator/link to file (URL file) * PI: Artés Vivancos, Tomàs (https://orcid.org/0000-0002-4105-5468, artes.tomas@gmail.com)
License:	Creative Commons Attribution-ShareAlike 4.0 International (CC-BY-SA-4.0)
Size:	848 data points
*/
Date/Time	File name	File format	File size [kByte]	URL file
2000-11	MODIS_BA_GLOBAL_1_11_2000	Shapefiles (zip)	1629.858	http://hs.pangaea.de/Maps/MCD64A1_burnt-areas/MODIS_BA_GLOBAL_1_11_2000.zip
2000-12	MODIS_BA_GLOBAL_1_12_2000	Shapefiles (zip)	12968.000	http://hs.pangaea.de/Maps/MCD64A1_burnt-areas/MODIS_BA_GLOBAL_1_12_2000.zip
2001-01	MODIS_BA_GLOBAL_1_1_2001	Shapefiles (zip)	19170.450	http://hs.pangaea.de/Maps/MCD64A1_burnt-areas/MODIS_BA_GLOBAL_1_1_2001.zip
2001-02	MODIS_BA_GLOBAL_1_2_2001	Shapefiles (zip)	15218.389	http://hs.pangaea.de/Maps/MCD64A1_burnt-areas/MODIS_BA_GLOBAL_1_2_2001.zip
2001-03	MODIS_BA_GLOBAL_1_3_2001	Shapefiles (zip)	12896.375	http://hs.pangaea.de/Maps/MCD64A1_burnt-areas/MODIS_BA_GLOBAL_1_3_2001.zip
2001-04	MODIS_BA_GLOBAL_1_4_2001	Shapefiles (zip)	4163.744	http://hs.pangaea.de/Maps/MCD64A1_burnt-areas/MODIS_BA_GLOBAL_1_4_2001.zip
2001-05	MODIS_BA_GLOBAL_1_5_2001	Shapefiles (zip)	5328.672	http://hs.pangaea.de/Maps/MCD64A1_burnt-areas/MODIS_BA_GLOBAL_1_5_2001.zip
2001-06	MODIS_BA_GLOBAL_1_6_2001	Shapefiles (zip)	7614.511	http://hs.pangaea.de/Maps/MCD64A1_burnt-areas/MODIS_BA_GLOBAL_1_6_2001.zip
2001-07	MODIS_BA_GLOBAL_1_7_2001	Shapefiles (zip)	9984.482	http://hs.pangaea.de/Maps/MCD64A1_burnt-areas/MODIS_BA_GLOBAL_1_7_2001.zip
2001-08	MODIS_BA_GLOBAL_1_8_2001	Shapefiles (zip)	17578.758	http://hs.pangaea.de/Maps/MCD64A1_burnt-areas/MODIS_BA_GLOBAL_1_8_2001.zip
2001-09	MODIS_BA_GLOBAL_1_9_2001	Shapefiles (zip)	21223.478	http://hs.pangaea.de/Maps/MCD64A1_burnt-areas/MODIS_BA_GLOBAL_1_9_2001.zip
2001-10	MODIS_BA_GLOBAL_1_10_2001	Shapefiles (zip)	14447.572	http://hs.pangaea.de/Maps/MCD64A1_burnt-areas/MODIS_BA_GLOBAL_1_10_2001.zip
2001-11	MODIS_BA_GLOBAL_1_11_2001	Shapefiles (zip)	13528.896	http://hs.pangaea.de/Maps/MCD64A1_burnt-areas/MODIS_BA_GLOBAL_1_11_2001.zip
2001-12	MODIS_BA_GLOBAL_1_12_2001	Shapefiles (zip)	14382.727	http://hs.pangaea.de/Maps/MCD64A1_burnt-areas/MODIS_BA_GLOBAL_1_12_2001.zip
2002-01	MODIS_BA_GLOBAL_1_1_2002	Shapefiles (zip)	18591.585	http://hs.pangaea.de/Maps/MCD64A1_burnt-areas/MODIS_BA_GLOBAL_1_1_2002.zip
2002-02	MODIS_BA_GLOBAL_1_2_2002	Shapefiles (zip)	12054.543	http://hs.pangaea.de/Maps/MCD64A1_burnt-areas/MODIS_BA_GLOBAL_1_2_2002.zip
2002-03	MODIS_BA_GLOBAL_1_3_2002	Shapefiles (zip)	12639.009	http://hs.pangaea.de/Maps/MCD64A1_burnt-areas/MODIS_BA_GLOBAL_1_3_2002.zip
2002-04	MODIS_BA_GLOBAL_1_4_2002	Shapefiles (zip)	5467.276	http://hs.pangaea.de/Maps/MCD64A1_burnt-areas/MODIS_BA_GLOBAL_1_4_2002.zip
2002-05	MODIS_BA_GLOBAL_1_5_2002	Shapefiles (zip)	6324.329	http://hs.pangaea.de/Maps/MCD64A1_burnt-areas/MODIS_BA_GLOBAL_1_5_2002.zip
2002-06	MODIS_BA_GLOBAL_1_6_2002	Shapefiles (zip)	9649.977	http://hs.pangaea.de/Maps/MCD64A1_burnt-areas/MODIS_BA_GLOBAL_1_6_2002.zip
2002-07	MODIS_BA_GLOBAL_1_7_2002	Shapefiles (zip)	16603.584	http://hs.pangaea.de/Maps/MCD64A1_burnt-areas/MODIS_BA_GLOBAL_1_7_2002.zip
2002-08	MODIS_BA_GLOBAL_1_8_2002	Shapefiles (zip)	21413.949	http://hs.pangaea.de/Maps/MCD64A1_burnt-areas/MODIS_BA_GLOBAL_1_8_2002.zip
2002-09	MODIS_BA_GLOBAL_1_9_2002	Shapefiles (zip)	25500.928	http://hs.pangaea.de/Maps/MCD64A1_burnt-areas/MODIS_BA_GLOBAL_1_9_2002.zip
2002-10	MODIS_BA_GLOBAL_1_10_2002	Shapefiles (zip)	23103.679	http://hs.pangaea.de/Maps/MCD64A1_burnt-areas/MODIS_BA_GLOBAL_1_10_2002.zip
2002-11	MODIS_BA_GLOBAL_1_11_2002	Shapefiles (zip)	17029.827	http://hs.pangaea.de/Maps/MCD64A1_burnt-areas/MODIS_BA_GLOBAL_1_11_2002.zip
2002-12	MODIS_BA_GLOBAL_1_12_2002	Shapefiles (zip)	15679.871	http://hs.pangaea.de/Maps/MCD64A1_burnt-areas/MODIS_BA_GLOBAL_1_12_2002.zip
2003-01	MODIS_BA_GLOBAL_1_1_2003	Shapefiles (zip)	24043.762	http://hs.pangaea.de/Maps/MCD64A1_burnt-areas/MODIS_BA_GLOBAL_1_1_2003.zip
2003-02	MODIS_BA_GLOBAL_1_2_2003	Shapefiles (zip)	16865.903	http://hs.pangaea.de/Maps/MCD64A1_burnt-areas/MODIS_BA_GLOBAL_1_2_2003.zip
2003-03	MODIS_BA_GLOBAL_1_3_2003	Shapefiles (zip)	14214.982	http://hs.pangaea.de/Maps/MCD64A1_burnt-areas/MODIS_BA_GLOBAL_1_3_2003.zip
2003-04	MODIS_BA_GLOBAL_1_4_2003	Shapefiles (zip)	15221.566	http://hs.pangaea.de/Maps/MCD64A1_burnt-areas/MODIS_BA_GLOBAL_1_4_2003.zip
